Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
10000                | 0.50            | 21.57           | 2976.02         | 138079.83       | 141055.85            | -87100.85                
9000                 | 0.60            | 16.18           | 2976.02         | 93203.88        | 96179.91             | -42224.91                
8000                 | 0.70            | 12.33           | 2976.02         | 63122.21        | 66098.23             | -12143.23                
7000                 | 0.80            | 9.44            | 2976.02         | 42286.95        | 45262.97             | 8692.03                  
6000                 | 0.90            | 7.19            | 2976.02         | 27615.97        | 30591.99             | 23363.01                 
5000                 | 1.00            | 5.39            | 2976.02         | 17259.98        | 20236.00             | 33719.00                 
4000                 | 1.10            | 3.92            | 2976.02         | 10042.17        | 13018.19             | 40936.81                 
3500                 | 1.20            | 3.15            | 2976.02         | 7047.82         | 10023.85             | 43931.15                 
3200                 | 1.30            | 2.66            | 2976.02         | 5438.22         | 8414.24              | 45540.76                 
3100                 | 1.40            | 2.39            | 2976.02         | 4739.10         | 7715.12              | 46239.88                 
3000                 | 1.50            | 2.16            | 2976.02         | 4142.39         | 7118.42              | 46836.58                 
2900                 | 1.60            | 1.96            | 2976.02         | 3628.91         | 6604.93              | 47350.07                 
2800                 | 1.70            | 1.78            | 2976.02         | 3183.96         | 6159.98              | 47795.02                 
2700                 | 1.80            | 1.62            | 2976.02         | 2796.12         | 5772.14              | 48182.86                 
2600                 | 1.90            | 1.48            | 2976.02         | 2456.37         | 5432.39              | 48522.61                 
2500                 | 2.00            | 1.35            | 2976.02         | 2157.50         | 5133.52              | 48821.48                 
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.50            | 12.94           | 2976.02         | 49708.74        | 52684.76             | 1270.24                  
5800                 | 0.60            | 10.43           | 2976.02         | 38708.38        | 41684.40             | 12270.60                 
5600                 | 0.70            | 8.63            | 2976.02         | 30929.88        | 33905.90             | 20049.10                 
5400                 | 0.80            | 7.28            | 2976.02         | 25165.05        | 28141.07             | 25813.93                 
5200                 | 0.90            | 6.23            | 2976.02         | 20742.66        | 23718.68             | 30236.32                 
5000                 | 1.00            | 5.39            | 2976.02         | 17259.98        | 20236.00             | 33719.00                 
